language,seconds,seed,ecapa_eer.ref,ecapa_eer.src,ecapa_speaker_similarity.ref.gen_vs_ref_mean,ecapa_speaker_similarity.ref.gt_pair_mean,ecapa_speaker_similarity.src.gen_vs_src_mean,ecapa_speaker_similarity.src.gt_pair_mean,redimnet_eer.ref,redimnet_eer.src,redimnet_speaker_similarity.ref.gen_vs_ref_mean,redimnet_speaker_similarity.ref.gt_pair_mean,redimnet_speaker_similarity.src.gen_vs_src_mean,redimnet_speaker_similarity.src.gt_pair_mean,dns_mos.gt_mean,dns_mos.gen_mean,wer.source_mean,wer.converted_mean,cer.source_mean,cer.converted_mean,num_items
spanish,10,37,0.19000000000000003,0.02000000000000001,0.7081849575042725,0.8028637170791626,0.16999571025371552,0.7977485656738281,0.09999999999999999,0.0,0.6878564357757568,0.8305370807647705,0.16228462755680084,0.8231835961341858,3.922405958175659,3.97346568107605,0.04250829666852951,0.053646259009838104,0.018515020608901978,0.022756557911634445,50
spanish,60,37,0.28,0.0,0.7481823563575745,0.8272420763969421,0.16384540498256683,0.7826090455055237,0.14,0.0,0.7449414134025574,0.8512988090515137,0.13609008491039276,0.811816394329071,3.9327447414398193,3.8722739219665527,0.040119584649801254,0.10826249420642853,0.021493559703230858,0.06352230161428452,50
spanish,30,73,0.38,0.0,0.7384558320045471,0.7897076606750488,0.16265277564525604,0.8091400265693665,0.24,0.0,0.7370507717132568,0.8248437643051147,0.15358398854732513,0.8338574171066284,3.8904807567596436,3.890110492706299,0.04447365179657936,0.07743623852729797,0.013534246943891048,0.028994519263505936,50
spanish,30,42,0.28,0.0,0.7476166486740112,0.7996275424957275,0.1621209681034088,0.795030415058136,0.21999999999999997,0.0,0.7523046731948853,0.8398827910423279,0.14204543828964233,0.8299121260643005,3.9600143432617188,3.8643441200256348,0.035668667405843735,0.07934889197349548,0.013141274452209473,0.036405254155397415,50
spanish,3,42,0.07999999999999999,0.0,0.6183826923370361,0.8251593708992004,0.16890770196914673,0.8086761236190796,0.04000000000000002,0.0,0.5929516553878784,0.8531445264816284,0.17785236239433289,0.8414453268051147,3.9282584190368652,3.950366258621216,0.05767228454351425,0.07216347754001617,0.026173360645771027,0.03129524737596512,50
spanish,3,73,0.09999999999999999,0.0,0.6074134111404419,0.7979929447174072,0.14758619666099548,0.8003638982772827,0.05000000000000002,0.0,0.5877929925918579,0.822314441204071,0.14703163504600525,0.8369531035423279,3.979252815246582,3.887910842895508,0.045870132744312286,0.06326892971992493,0.021464703604578972,0.026726700365543365,50
spanish,3,37,0.13,0.02000000000000001,0.6247551441192627,0.7980903387069702,0.1760089099407196,0.7911199927330017,0.060000000000000026,0.0,0.6094189286231995,0.8267871141433716,0.16996154189109802,0.8187890648841858,3.8929386138916016,3.9207799434661865,0.04375164583325386,0.06447069346904755,0.017370039597153664,0.021276213228702545,50
spanish,30,37,0.29000000000000004,0.0,0.7478783130645752,0.823904275894165,0.18831418454647064,0.8034834265708923,0.26,0.0,0.7389550805091858,0.8467578291893005,0.1604078710079193,0.8269238471984863,3.937490224838257,3.92399263381958,0.04154230281710625,0.08926241844892502,0.018119750544428825,0.0464901365339756,50
spanish,60,42,0.32999999999999996,0.0,0.7543463706970215,0.7948270440101624,0.15635262429714203,0.8083245754241943,0.19999999999999998,0.0,0.7389795184135437,0.8277539014816284,0.13341522216796875,0.8377344012260437,3.9277706146240234,3.88588809967041,0.048336755484342575,0.08199691027402878,0.018133996054530144,0.033879898488521576,50
spanish,60,73,0.32999999999999996,0.0,0.7475185394287109,0.8046325445175171,0.17347431182861328,0.7864929437637329,0.21,0.0,0.7442968487739563,0.8359570503234863,0.15980681777000427,0.8244238495826721,3.8882153034210205,3.8808205127716064,0.10585537552833557,0.06350386887788773,0.0740714818239212,0.030363399535417557,50
spanish,10,73,0.29000000000000004,0.03000000000000001,0.7045040726661682,0.8000738620758057,0.1338323950767517,0.787879467010498,0.16000000000000003,0.02000000000000001,0.6961669921875,0.8369433879852295,0.13093014061450958,0.8140869140625,3.9662461280822754,3.939361333847046,0.044890306890010834,0.060659319162368774,0.02178926020860672,0.02995935268700123,50
spanish,10,42,0.19999999999999998,0.0,0.6715322136878967,0.7929965853691101,0.13719695806503296,0.8015327453613281,0.18999999999999997,0.0,0.6597607135772705,0.8064550757408142,0.151561439037323,0.8303515911102295,3.892544746398926,3.892038345336914,0.04374779388308525,0.058013349771499634,0.023370645940303802,0.02646229974925518,50
french,10,37,0.28,0.0,0.6873921751976013,0.7687407732009888,0.13324670493602753,0.7892919182777405,0.19999999999999998,0.0,0.6660107374191284,0.7894433736801147,0.16656494140625,0.7940136790275574,3.940354108810425,3.8614392280578613,0.0499066561460495,0.17946366965770721,0.029665028676390648,0.14355282485485077,50
french,60,37,0.30999999999999994,0.0,0.7411550879478455,0.7951049208641052,0.10028392821550369,0.7681428790092468,0.27,0.0,0.724072277545929,0.8096093535423279,0.15147742629051208,0.7908594012260437,3.8622677326202393,3.871706962585449,0.049391597509384155,0.08522436022758484,0.024965951219201088,0.034782782196998596,50
french,30,73,0.31999999999999995,0.0,0.7276760935783386,0.7769854664802551,0.10714071244001389,0.7872243523597717,0.30000000000000004,0.0,0.7093261480331421,0.796582043170929,0.15860092639923096,0.7989453077316284,3.891094446182251,3.8737597465515137,0.06155624985694885,0.1406191885471344,0.030313801020383835,0.09426075965166092,50
french,30,42,0.27,0.0,0.7330155968666077,0.7892827391624451,0.14541096985340118,0.78436678647995,0.24,0.0,0.7184863090515137,0.8129687309265137,0.1725550889968872,0.806201159954071,3.8938138484954834,3.869431972503662,0.08119377493858337,0.14324167370796204,0.05511688068509102,0.10010701417922974,50
french,3,42,0.18000000000000002,0.01,0.5952383279800415,0.7667089700698853,0.13460643589496613,0.7677530646324158,0.07000000000000003,0.0,0.5832470655441284,0.7885448932647705,0.17519713938236237,0.779589831829071,3.9005091190338135,3.8711681365966797,0.06719723343849182,0.13152426481246948,0.042396269738674164,0.07821739464998245,50
