language,seconds,seed,ecapa_eer.ref,ecapa_eer.src,ecapa_speaker_similarity.ref.gen_vs_ref_mean,ecapa_speaker_similarity.ref.gt_pair_mean,ecapa_speaker_similarity.src.gen_vs_src_mean,ecapa_speaker_similarity.src.gt_pair_mean,redimnet_eer.ref,redimnet_eer.src,redimnet_speaker_similarity.ref.gen_vs_ref_mean,redimnet_speaker_similarity.ref.gt_pair_mean,redimnet_speaker_similarity.src.gen_vs_src_mean,redimnet_speaker_similarity.src.gt_pair_mean,dns_mos.gt_mean,dns_mos.gen_mean,wer.source_mean,wer.converted_mean,cer.source_mean,cer.converted_mean,num_items
spanish,10,37,0.18000000000000002,0.02000000000000001,0.7003402709960938,0.8028477430343628,0.2035568654537201,0.7977356910705566,0.09999999999999999,0.0,0.6622118949890137,0.8305468559265137,0.19630035758018494,0.8231347799301147,3.9232230186462402,3.9914212226867676,0.03813329339027405,0.03909750655293465,0.01385180838406086,0.011913364753127098,50
spanish,60,37,0.07000000000000003,0.0,0.5395443439483643,0.8272318840026855,0.1441633105278015,0.7825908660888672,0.03000000000000001,0.0,0.4700878858566284,0.8513281345367432,0.11953899264335632,0.8117969036102295,3.9425690174102783,3.1197495460510254,0.040119584649801254,0.09366972744464874,0.021493559703230858,0.045744918286800385,50
spanish,30,73,0.24,0.0,0.7131597399711609,0.7897026538848877,0.18595612049102783,0.8091302514076233,0.15000000000000002,0.0,0.6809863448143005,0.8247753977775574,0.17786133289337158,0.8338574171066284,3.8937501907348633,3.8958261013031006,0.04447365179657936,0.056770507246255875,0.013534246943891048,0.018002605065703392,50
spanish,30,42,0.31000000000000005,0.0,0.712240993976593,0.7996131777763367,0.18974541127681732,0.7950117588043213,0.14,0.0,0.6801464557647705,0.839892566204071,0.17319275438785553,0.8298925757408142,3.9616146087646484,3.9034247398376465,0.035668667405843735,0.0555541031062603,0.013141274452209473,0.02119632437825203,50
spanish,3,42,0.07000000000000003,0.0,0.5895393490791321,0.8251497745513916,0.2053050547838211,0.8086740970611572,0.03000000000000001,0.0,0.5425183176994324,0.8531054854393005,0.21291138231754303,0.8414551019668579,3.927280902862549,3.9912614822387695,0.06704728305339813,0.05678100883960724,0.03653605282306671,0.02157096192240715,50
spanish,3,73,0.09,0.0,0.5678041577339172,0.7979880571365356,0.21618951857089996,0.8003492951393127,0.010000000000000009,0.0,0.5252099633216858,0.8223046660423279,0.22751815617084503,0.8369531035423279,3.9737987518310547,3.9682693481445312,0.04737012833356857,0.051514461636543274,0.02340308390557766,0.019355861470103264,50
spanish,3,37,0.16,0.02000000000000001,0.5949087738990784,0.7980820536613464,0.2135668396949768,0.7911054491996765,0.07000000000000003,0.0,0.5440771579742432,0.826855480670929,0.21083922684192657,0.8188086152076721,3.8855810165405273,3.9850430488586426,0.04375164583325386,0.055277127772569656,0.017370039597153664,0.0181236881762743,50
spanish,30,37,0.28,0.0,0.7266873121261597,0.8238928914070129,0.21368440985679626,0.8034746050834656,0.14,0.0,0.6905419826507568,0.8467480540275574,0.19771453738212585,0.8269140720367432,3.935983657836914,3.9438600540161133,0.041066113859415054,0.05106078460812569,0.017926514148712158,0.018042899668216705,50
spanish,60,42,0.059999999999999984,0.0,0.5374827980995178,0.7948169112205505,0.1428515613079071,0.8083229660987854,0.020000000000000018,0.0,0.48155272006988525,0.8276953101158142,0.11484558135271072,0.837695300579071,3.9330849647521973,3.036522626876831,0.048336755484342575,0.10882905125617981,0.018133996054530144,0.039388056844472885,50
spanish,60,73,0.060000000000000026,0.0,0.5576212406158447,0.8046207427978516,0.160755455493927,0.7864834666252136,0.02000000000000001,0.0,0.46556150913238525,0.8359765410423279,0.12724563479423523,0.824414074420929,3.8902511596679688,3.1010608673095703,0.10261213034391403,0.0902499258518219,0.07099456340074539,0.039218608289957047,50
